ACM Instruments v4 analysis (01/mar./2023 15:07)

File name,C:\Data\ELL\MnO2_sintetizado\MnO2_600mV_sint,
Test type,Cyclic sweep,
Instrument serial number,901,
Physical channel,3,
Sequence number,1,
ZRA Number,n/a,
Time and Date,14:48:10 01/mar./2023,
Data points,1228,
Area (cm²),1,
Rest Potential (mV),Not recorded,
Metal,Mild Steel,
Metal factor,1159,
LPR (Ohm.cm²),142.68,
Ba (mV),120,
Bc (mV),120,
Icorr (mA/cm²),0.1828319,
Corrosion Rate (mm/year),2.119,
Corrosion rate (mils/yr),83.426,
Intercept (mA/cm²),0,
Intercept corrosion rate (mm/year),0,
Intercept corrosion rate (mils/yr),0,
IR Compensation value (Ohm.cm²),N/A,
,
Current (mA/cm²),Potential (mV),Time (Sec),
1.234,-326.55,58.731,
1.2149,-310.76,59.606,
1.2367,-294.51,60.419,
1.1666,-279.33,61.231,
1.1696,-263.13,62.107,
1.1657,-247.04,62.918,
1.1431,-231.58,63.793,
1.1473,-214.94,64.34,
1.1203,-196.48,65.169,
1.099,-180.88,65.98,
1.1027,-165.08,66.794,
1.0837,-149.31,67.668,
1.0789,-133.3,68.48,
1.0677,-117.35,69.355,
1.0692,-101.33,70.215,
1.0527,-84.736,71.043,
1.0486,-68.536,71.918,
1.0736,-52.488,72.402,
1.0327,-38.699,73.058,
1.0831,-23.151,73.855,
1.1015,-7.5049,74.669,
1.1015,8.2767,75.543,
1.1342,24.342,76.355,
1.1715,40.753,77.23,
1.1547,56.773,78.105,
1.2262,72.953,78.917,
1.2603,88.836,79.73,
1.368,104.57,80.277,
1.5038,123.05,81.105,
1.6135,140.89,82.105,
1.659,156.95,82.917,
1.7292,172.75,83.73,
1.7815,188.64,84.605,
1.8526,204.83,85.418,
1.8702,220.55,86.292,
1.9384,236.52,87.151,
1.9992,253.15,87.98,
2.0948,269.77,88.526,
2.193,288.19,89.354,
2.2568,303.79,90.229,
2.3511,319.8,91.042,
2.4679,336.58,92.136,
2.5939,357.03,93.042,
2.7129,373.41,93.917,
2.9715,389.8,94.73,
3.3008,405.41,95.542,
3.4847,421.51,96.417,
3.6473,437.47,96.901,
3.9513,451.29,97.557,
4.7901,466.85,98.354,
6.2992,482.58,99.167,
,,99.713,
8.5494,498.32,100.04,
7.5621,492.3,100.85,
4.993,475.12,101.72,
3.3268,459.13,102.54,
2.3094,443.48,103.37,
1.7267,427.19,104.18,
1.4116,411.53,104.72,
1.1705,393.03,105.61,
1.0285,376.77,106.43,
0.9341694,361.27,107.27,
0.7681659,344.85,108.18,
0.6297147,326.38,109.16,
0.5308558,309.09,110.01,
0.433226,293.01,110.86,
0.2932401,275.19,111.91,
0.2241353,256.88,112.8,
0.1901187,240.03,113.29,
0.2278806,226.21,113.94,
0.1916961,210.76,114.74,
0.1506093,195.03,115.55,
0.1056818,179.37,116.43,
0.0486724,163.13,117.24,
0.0157937,147.2,118.11,
-0.0282609,131.2,118.97,
-0.0504003,114.84,119.79,
-0.134069,97.595,120.79,
-0.164648,80.129,121.35,
-0.1997954,61.063,122.18,
-0.2216828,45.191,122.99,
-0.2533513,29.835,123.8,
-0.2802471,14.393,124.68,
-0.2953481,-1.6959,125.49,
-0.3396905,-17.46,126.36,
-0.3745343,-34.605,127.24,
-0.3763773,-51.21,128.11,
-0.3905449,-66.989,128.93,
-0.4562387,-83.564,129.47,
-0.4637773,-101.81,130.3,
-0.4923682,-117.42,131.18,
-0.527523,-133.91,131.99,
-0.5201219,-149.45,132.86,
-0.5487927,-165.37,133.68,
-0.5985907,-181.07,134.55,
-0.6083303,-197.36,135.36,
-0.6222508,-212.9,136.18,
-0.6618257,-228.47,136.99,
-0.7329956,-244.83,137.54,
-0.8053944,-263.31,138.36,
-0.8241333,-278.87,139.24,
-0.8881884,-294.87,140.05,
-0.942093,-310.59,140.93,
-1.0003,-327.12,141.75,
-1.0501,-342.76,142.57,
-1.1335,-360.36,143.55,
-1.1436,-377.21,144.44,
-1.1792,-393.89,145.32,
-1.268,-410.6,145.8,
-1.2132,-424.26,146.39,
-1.3112,-439.34,147.25,
-1.3714,-455.61,148.07,
-1.3742,-471.27,148.94,
-1.401,-487.37,149.75,
-1.3946,-503.22,150.63,
-1.3911,-519.23,151.44,
-1.4108,-534.8,152.25,
-1.4163,-550.27,153.07,
-1.4334,-566.42,153.61,
-1.4506,-584.94,154.5,
-1.4283,-600.89,155.32,
-1.424,-616.38,156.13,
-1.4384,-632.16,157,
-1.465,-648.04,157.82,
-1.4818,-663.6,158.63,
-1.4941,-679.62,159.5,
-1.5519,-695.57,160.36,
-1.5814,-712.18,161.25,
-1.6747,-729.02,161.74,
-1.6228,-742.85,162.39,
-1.7527,-758.32,163.19,
-1.8153,-773.68,164,
-1.8771,-789.45,164.88,
-1.945,-805.71,165.69,
-1.9804,-821.25,166.5,
-2.0173,-837.29,167.36,
-2.0725,-853.56,168.47,
-2.2267,-874.46,169.3,
-2.1776,-890.87,169.86,
-2.2818,-909.67,170.75,
-2.3088,-926.5,171.64,
-2.3761,-943.13,172.5,
-2.4444,-959.7,173.39,
-2.47,-976.01,174.21,
-2.5255,-991.47,175.02,
-2.5581,-1007.4,175.89,
-2.6527,-1023.4,176.71,
-2.725,-1038.9,177.52,
-2.8231,-1055.1,178.07,
-2.9449,-1073.5,178.89,
-2.9215,-1089.1,179.77,
-2.977,-1105.3,180.58,
-2.9709,-1121,181.46,
-3.0945,-1137.3,182.27,
-3.0504,-1152.5,183.08,
-3.0735,-1168.5,183.96,
-3.1473,-1184.3,184.77,
-3.1705,-1199.8,185.58,
-3.2642,-1216.3,186.13,
-3.4066,-1234.4,186.96,
-3.4652,-1250.1,187.83,
-3.5171,-1266.3,188.64,
-3.5794,-1282,189.46,
-3.6208,-1297.8,190.33,
-3.7492,-1313.7,191.14,
-3.8257,-1329.2,191.96,
-3.9401,-1345.2,192.83,
-4.1897,-1361.3,193.64,
-4.4186,-1376.9,194.19,
-4.7521,-1395.4,195.02,
-5.1735,-1411.3,195.83,
-5.6874,-1427,196.7,
-6.4948,-1443.2,197.52,
-7.3577,-1458.6,198.33,
-8.5019,-1474.5,199.2,
,,199.77,
-9.9986,-1490.7,200.08,
-9.3811,-1491.8,201.08,
-7.2103,-1472.7,202.13,
-5.6049,-1454,202.69,
-4.3403,-1434.9,203.58,
-3.5302,-1418.7,204.39,
-2.8323,-1403.1,205.2,
-2.2993,-1387.3,206.08,
-1.7743,-1371.1,206.89,
-1.4788,-1355.2,207.77,
-1.1232,-1339.5,208.58,
-0.8201977,-1323.2,209.39,
-0.5687823,-1307.7,210.27,
-0.2426691,-1291,210.92,
0.040687,-1268.5,212.05,
0.1275914,-1248.4,212.95,
0.3081871,-1230.3,213.88,
0.2963344,-1214.4,214.7,
0.4263839,-1198.8,215.52,
0.5106982,-1182.5,216.39,
0.6034809,-1166.4,217.27,
0.6500263,-1150.1,218.08,
0.7163433,-1134,218.95,
0.8368354,-1118,219.5,
0.9276977,-1099.2,220.33,
0.965829,-1083.8,221.14,
1.0728,-1067.3,222.05,
1.0838,-1051,222.81,
1.1821,-1034.7,223.75,
1.182,-1018.5,224.61,
1.2316,-1002.1,225.5,
1.2826,-985.56,226.31,
1.3349,-969.92,227.13,
1.4038,-953.65,227.67,
1.5146,-934.74,228.58,
1.5531,-918.18,229.45,
1.5667,-902.12,230.27,
1.6001,-886.29,231.08,
1.5885,-870.53,231.95,
1.6204,-854.53,232.77,
1.6474,-838.13,233.64,
1.678,-821.66,234.47,
1.7723,-804.94,235.44,
2.0028,-784.58,236.34,
2.0647,-754.6,237.63,
1.9184,-736.14,238.53,
1.8483,-720.28,239.31,
1.8332,-705.31,240.14,
1.8639,-689.45,241.03,
1.8552,-672.58,241.92,
1.8297,-656.09,242.78,
1.8073,-639.44,243.67,
1.7907,-622.85,244.43,
1.7919,-607.21,244.93,
1.6885,-594.14,245.59,
1.723,-578.39,246.37,
1.6638,-563.43,247.15,
1.6563,-548.95,247.89,
1.6066,-534.58,248.67,
1.6106,-519.57,249.54,
1.6395,-501.58,250.57,
1.5815,-482.01,251.51,
1.5721,-463.9,252.48,
1.568,-445.93,253.12,
1.4911,-426.71,253.89,
1.4538,-411.66,254.76,
1.4415,-395.65,255.57,
1.3894,-380.51,256.39,
1.3829,-364.74,257.25,
1.3626,-348.11,258.06,
1.3335,-332.44,258.95,
1.328,-315.98,259.78,
1.3059,-300.23,260.64,
1.3046,-283.54,261.2,
1.2705,-264.37,262.07,
1.2558,-247.75,262.96,
1.2161,-231.35,263.78,
1.181,-216.19,264.59,
1.1726,-200.94,265.4,
1.1756,-185.22,266.21,
1.1601,-169.3,267.09,
1.1383,-153.47,267.9,
1.1246,-137.92,268.71,
1.144,-122.31,269.24,
1.1497,-103.04,270.07,
1.1357,-87.59,270.9,
1.1083,-72.547,271.7,
1.1311,-57.216,272.53,
1.1098,-42.024,273.39,
1.1239,-25.297,274.26,
1.1423,-8.2982,275.15,
1.1348,8.0724,276.01,
1.1567,24.566,276.82,
1.2072,41.12,277.38,
1.2226,59.523,278.26,
1.2702,75.859,279.07,
1.3139,91.115,279.9,
1.4009,106.73,287.89,
1.4902,122.96,288.78,
1.579,139.77,289.65,
1.6446,156.36,290.54,
1.7053,172.99,291.4,
1.7665,189.62,292.21,
1.8236,205.56,292.71,
1.8434,218.81,293.31,
1.9105,233.49,294.09,
1.9691,248.71,294.96,
2.0496,265.33,295.84,
2.1291,281.99,296.65,
2.191,297.51,297.53,
2.2866,313.98,298.42,
2.3657,330.45,299.28,
2.4736,347.16,300.09,
2.59,362.83,300.64,
2.8343,382.06,301.54,
3.1888,398.14,302.35,
3.4764,413.62,303.17,
3.6102,429.07,304.03,
3.8939,445.62,304.84,
4.4807,461.34,305.67,
5.5139,476.34,306.53,
,,307.07,
7.2692,492.85,307.34,
7.7062,496.74,308.17,
5.4473,480.16,308.7,
3.4363,460.61,309.6,
2.3571,444.09,310.46,
1.7474,427.83,311.28,
1.4051,412.09,312.17,
1.1961,396.7,312.9,
1.0483,382.15,313.71,
0.9202178,366.87,314.56,
0.7727661,350.13,315.37,
0.6418311,334.02,316.29,
0.506227,316.46,316.85,
0.3028859,295.07,318.03,
0.19368,275.71,318.84,
0.0878558,259.06,319.7,
0.0848302,243.64,320.57,
0.1094619,227.36,321.4,
0.1065925,211.6,322.2,
0.0920328,196.5,323.01,
0.0457321,181.03,323.82,
-0.007995,165.23,324.7,
-0.057285,148.96,325.26,
-0.1374506,127.48,326.26,
-0.1368247,111.2,327.07,
-0.1723878,95.547,327.95,
-0.1947316,79.461,328.75,
-0.2316662,63.432,329.64,
-0.2715266,47.339,330.45,
-0.3099917,31.594,331.31,
-0.3211642,15.26,332.2,
-0.3581478,-1.6048,333.03,
-0.3657401,-17.321,333.59,
-0.4398524,-37.519,334.48,
-0.4520307,-53.435,335.3,
-0.4395949,-68.545,336.09,
-0.4898834,-84.247,336.97,
-0.5219579,-100.71,337.84,
-0.5412722,-117.36,338.73,
-0.5614292,-133.81,339.55,
-0.5734483,-149.82,340.42,
-0.6010437,-166.06,341.33,
-0.6605232,-183.59,341.87,
-0.6961205,-203.11,342.78,
-0.7315333,-219.5,343.66,
-0.7681471,-236.01,344.52,
-0.7818569,-252.4,345.39,
-0.8310555,-269.07,346.2,
-0.8770646,-284.7,347.03,
-0.9031928,-299.81,347.89,
-0.9642571,-316.61,348.78,
-1.0048,-333.25,349.66,
-1.049,-349.74,350.16,
-1.0572,-364.1,350.83,
-1.1952,-382.99,351.84,
-1.212,-400.14,352.73,
-1.2474,-416.78,353.58,
-1.2941,-434.18,354.48,
-1.2903,-450.35,355.36,
-1.3287,-466.37,356.17,
-1.3484,-482.28,357.06,
-1.3664,-498.83,357.92,
-1.4201,-515.6,358.47,
-1.43,-534.02,359.31,
-1.4471,-549.67,360.12,
-1.4581,-565.05,360.94,
-1.4834,-580.86,361.81,
-1.5,-597.42,362.67,
-1.5186,-613.84,363.48,
-1.4929,-629.36,364.25,
-1.4991,-644.04,365.12,
-1.5716,-660.09,365.94,
-1.5833,-675.47,366.42,
-1.5518,-689.26,367.01,
-1.6018,-704.01,367.87,
-1.7156,-720.48,368.73,
-1.7173,-736.67,369.55,
-1.7779,-752.32,370.37,
-1.8477,-767.59,371.19,
-1.9037,-783.15,372,
-1.9632,-799.25,372.92,
-2.0111,-816.29,373.73,
-2.0479,-832.24,374.23,
-1.9865,-845.47,374.84,
-2.0776,-859.93,375.56,
-2.1187,-874.57,376.44,
-2.226,-891.68,377.44,
-2.2591,-909.93,378.25,
-2.2707,-924.86,379.06,
-2.3455,-940.56,379.89,
-2.3903,-956.09,380.7,
-2.4907,-972.22,381.51,
-2.5839,-987.33,382.06,
-2.7054,-1006.7,382.95,
-2.79,-1023.1,383.76,
-2.7814,-1038.3,384.59,
-2.8866,-1053.9,385.45,
-2.9776,-1070.4,386.26,
-2.9947,-1085.9,387.09,
-3.036,-1101.3,387.97,
-3.0547,-1117.4,388.78,
-3.1008,-1133,389.59,
-3.1689,-1148.6,390.12,
-3.2641,-1168.2,391.03,
-3.3051,-1184.6,391.9,
-3.3528,-1200.8,392.72,
-3.398,-1216.4,393.59,
-3.4719,-1232.9,394.45,
-3.5063,-1249.1,395.28,
-3.5983,-1265,396.14,
-3.6652,-1281.4,397.03,
-3.756,-1298.1,397.89,
-3.8822,-1314.9,398.45,
-3.9977,-1334,399.28,
-4.0725,-1349.4,400.08,
-4.2516,-1364.7,400.9,
-4.4357,-1379.9,401.76,
-4.7249,-1396.7,402.65,
-5.0769,-1413.1,403.51,
-5.533,-1429.8,404.4,
-6.169,-1446.5,405.22,
-6.8954,-1462.4,406.01,
-7.8387,-1477.7,406.56,
,,407.14,
-9.1965,-1496.5,407.47,
-7.4624,-1484.9,408.51,
-5.9336,-1464.4,409.57,
-5.158,-1447.2,410.47,
-4.4567,-1430.5,411.34,
-3.4725,-1413.9,412.2,
-2.7451,-1397.9,413.01,
-2.1053,-1381.7,413.89,
-1.758,-1365.6,414.72,
-1.2939,-1349.3,415.25,
-0.8723158,-1331.6,416.03,
-0.6495601,-1316.5,416.89,
-0.2063754,-1298.3,417.82,
-0.0788747,-1281.5,418.93,
0.1402568,-1260.8,419.84,
0.1680225,-1244.5,420.71,
0.4048819,-1226.8,421.7,
0.408376,-1208.9,422.53,
0.5308463,-1192.3,423.32,
0.6215782,-1177.2,423.82,
0.5446058,-1164.1,424.42,
0.7483146,-1149.2,425.26,
0.8592944,-1132.7,426.07,
0.9420466,-1116.9,426.95,
1.0552,-1100.5,427.84,
1.0444,-1084.2,428.7,
1.2758,-1065.7,429.7,
1.2166,-1048.2,430.59,
1.2797,-1031.5,431.4,
1.2726,-1015.6,431.93,
1.4511,-996.61,432.84,
1.4988,-979.93,433.71,
1.5252,-963.71,434.53,
1.4991,-948.21,435.34,
1.5408,-932.73,436.21,
1.6111,-916.69,437.03,
1.6301,-901.22,437.84,
1.6484,-885.21,438.71,
1.7389,-869.13,439.53,
1.7855,-853.46,440.01,
1.698,-839.74,440.67,
1.8171,-824.44,441.46,
1.8886,-808.61,442.28,
1.8641,-792.89,443.14,
2.0313,-775.61,444.25,
2.0301,-755.04,445.15,
1.9669,-738.61,445.95,
1.9361,-723.06,446.78,
1.9706,-707.79,447.64,
2.0206,-691.03,448.2,
1.9944,-671.97,449.07,
2.0139,-655.42,449.89,
1.9426,-639.92,450.76,
1.9727,-623.22,451.65,
1.885,-607.26,452.46,
1.8912,-591.45,453.32,
1.8505,-574.94,454.21,
1.822,-558.27,455.07,
1.7916,-541.72,455.96,
1.7789,-524.89,456.45,
1.6621,-511.17,457.04,
1.6545,-496.41,457.9,
1.6491,-480.46,458.71,
1.6532,-464.6,459.57,
1.6392,-448.13,460.39,
1.5603,-432.73,461.21,
1.5626,-417.3,462.07,
1.5462,-400.75,462.95,
1.4754,-384.09,463.81,
1.5045,-366.93,464.38,
1.4705,-347.73,465.28,
1.4278,-331.18,466.13,
1.4293,-315.15,466.92,
1.3713,-300.33,467.79,
1.3531,-284.35,468.6,
1.3387,-268.87,469.42,
1.3246,-253.18,470.28,
1.3192,-235.25,471.24,
1.2912,-217.88,472.03,
1.2816,-202.63,472.6,
1.2693,-183.77,473.48,
1.2634,-167.21,474.26,
1.2022,-152.86,475.06,
1.2282,-137.46,475.85,
1.1879,-122.47,476.68,
1.2246,-106.94,477.54,
1.1831,-90.839,478.37,
1.1573,-75.275,479.18,
1.1781,-58.978,480.04,
1.2034,-42.517,480.62,
1.294,-19.2,481.65,
1.1926,-3.9128,482.45,
1.2185,10.585,483.24,
1.2563,26.219,484.1,
1.2926,43.812,485.06,
1.3171,60.578,485.87,
1.3222,75.894,486.73,
1.3722,92.446,487.54,
1.4383,108.15,488.37,
1.5495,123.52,488.92,
1.6558,142.9,489.81,
1.7402,159.88,490.7,
1.7958,176.31,491.57,
1.8179,192.31,492.38,
1.8902,208.05,493.2,
1.9272,223.85,494.02,
2.0056,239.33,494.9,
2.067,255.76,495.73,
2.136,271.64,496.56,
2.2067,287.29,497.1,
2.3376,306.77,497.93,
2.3973,322.1,498.76,
2.5136,337.68,499.63,
2.6491,354.04,500.49,
2.8059,370.56,501.32,
3.0935,386.46,502.2,
3.6072,402.5,503.01,
3.8176,417.99,503.87,
3.938,434.41,504.68,
4.448,450.44,505.18,
5.2067,463.28,505.77,
6.978,478.69,506.65,
,,507.18,
9.7339,494.88,507.45,
9.0577,491.41,508.26,
6.2046,475.77,509.09,
4.1098,460.57,509.84,
2.7366,445.88,510.71,
1.8935,429.91,511.52,
1.4581,413.91,512.32,
1.1985,398.44,512.87,
0.9426321,379.7,513.7,
0.8007862,364.31,514.57,
0.6029301,346.19,515.51,
0.5292939,330.39,516.35,
0.4234761,314.35,517.21,
0.2189865,295.25,518.26,
0.1502328,277.82,519.15,
-0.010429,260.88,520.02,
-0.0578009,243.9,520.98,
-0.0390356,224.31,521.68,
0.0032809,203,522.59,
-0.0207255,186.34,523.49,
-0.100535,167.66,524.48,
-0.1277913,148.8,525.48,
-0.1387793,131.67,526.37,
-0.1836912,115.16,527.23,
-0.2148042,98.682,528.05,
-0.2257886,82.491,528.91,
-0.2745219,66.31,529.74,
-0.310637,50.171,530.21,
-0.2817405,37.304,530.87,
-0.344016,21.777,531.62,
-0.3559597,7.1757,532.44,
-0.3883377,-8.5975,533.34,
-0.4615229,-25.878,534.23,
-0.4816416,-44.145,535.18,
-0.4806037,-61.459,536.07,
-0.5177811,-78.621,536.96,
-0.5425637,-95.343,537.79,
-0.5720485,-111.03,538.33,
-0.594658,-129.36,539.21,
-0.6555091,-145.97,540.02,
-0.6664324,-161.63,540.91,
-0.700491,-177.82,541.73,
-0.6967145,-193.16,542.58,
-0.7407169,-209.66,543.4,
-0.7959767,-225.6,544.23,
-0.8428931,-240.84,545.09,
-0.8571177,-257.17,545.9,
-0.9645515,-273.26,546.41,
-1.0271,-291.3,547.24,
-1.052,-306.22,548.07,
-1.207,-324.24,549.07,
-1.2391,-341.68,549.93,
-1.2887,-357.85,550.79,
-1.345,-374.24,551.66,
-1.3672,-390.89,552.55,
-1.3748,-407.23,553.35,
-1.4367,-423.54,554.35,
-1.5395,-442.39,554.88,
-1.4521,-460.48,555.72,
-1.5258,-476.82,556.55,
-1.461,-492.34,557.43,
-1.5075,-508.7,558.24,
-1.4653,-524.08,559.07,
-1.4933,-539.74,559.9,
-1.482,-555.81,560.77,
-1.4619,-571.47,561.58,
-1.4884,-587.13,562.4,
-1.5549,-602.96,562.94,
-1.6059,-622.45,563.77,
-1.5652,-637.73,564.66,
-1.6265,-654.46,565.55,
-1.655,-671,566.41,
-1.7205,-687.46,567.22,
-1.6937,-702.92,567.99,
-1.7536,-717.86,568.82,
-1.818,-734.22,569.77,
-1.9011,-751.43,570.85,
-2.1098,-772.51,571.41,
-2.1031,-791.08,572.24,
-2.1519,-807.06,573.13,
-2.2256,-823.16,573.94,
-2.2222,-838.28,574.76,
-2.358,-855.37,575.63,
-2.3043,-870.81,576.49,
-2.3811,-887.14,577.36,
-2.4002,-903.75,578.18,
-2.4693,-919.6,579.05,
-2.6082,-936.03,579.61,
-2.763,-955.23,580.44,
-2.7978,-971.01,581.3,
-2.8868,-986.98,582.11,
-2.9347,-1002.5,582.94,
-3.031,-1018,583.8,
-3.0378,-1034.2,584.61,
-3.15,-1050.2,585.47,
-3.1888,-1066.2,586.33,
-3.2849,-1082.2,587.19,
-3.39,-1098.9,587.74,
-3.3965,-1117.5,588.57,
-3.3858,-1133.6,589.44,
-3.4911,-1149.9,590.25,
-3.4483,-1165.5,591.13,
-3.5506,-1181.8,591.94,
-3.5278,-1197.4,592.82,
-3.6371,-1213.8,593.71,
-3.7092,-1230.3,594.57,
-3.7999,-1246.9,595.38,
-3.8499,-1262.8,595.93,
-4.0623,-1281.8,596.75,
-4.0561,-1297.2,597.63,
-4.239,-1314,598.5,
-4.2971,-1330.2,599.32,
-4.4012,-1345.8,600.19,
-4.5466,-1361.8,601.07,
-4.7552,-1378.5,601.88,
-5.0129,-1394.1,602.76,
-5.4267,-1410.4,603.57,
-5.9811,-1426.4,604.11,
-6.806,-1445.2,604.94,
-7.6587,-1460.7,605.82,
-8.8808,-1477,606.63,
-10.311,-1492.6,607.5,
,,607.74,
-11.167,-1504,608.38,
-8.1104,-1482.4,609.38,
-6.6135,-1463.5,610.44,
-5.3601,-1445.6,611.32,
-4.1741,-1428.8,612.21,
-3.2452,-1412.1,612.69,
-2.8043,-1398.4,613.35,
-2.0744,-1382.4,614.19,
-1.6088,-1365.8,615.08,
-1.3194,-1349.4,615.91,
-1.2319,-1333.8,616.77,
-0.8157409,-1317.4,617.58,
-0.4331366,-1301.4,618.63,
0.1326267,-1280.2,619.58,
0.0200042,-1263.5,620.46,
0.3209911,-1246.3,621.13,
0.4088631,-1225.6,621.96,
0.483968,-1209.8,622.83,
0.6282626,-1193.2,623.72,
0.6969987,-1176.6,624.57,
0.828724,-1160.2,625.46,
0.9171878,-1143.3,626.33,
0.9534931,-1126.8,627.14,
1.005,-1111.2,628.02,
1.1389,-1094.8,628.85,
1.3021,-1077.9,629.5,
1.3437,-1057.5,630.33,
1.3536,-1041.7,631.21,
1.4499,-1025.3,632.1,
1.4712,-1008.8,632.97,
1.5222,-992.28,633.83,
1.5732,-975.7,634.64,
1.5911,-960.09,635.52,
1.6543,-943.74,636.41,
1.7284,-927.26,637.27,
1.8216,-910.34,637.82,
1.8352,-892,638.6,
1.8573,-876.8,639.46,
1.8822,-860.74,640.27,
1.931,-844.84,641.14,
1.9303,-828.68,642.02,
2.0326,-811.4,643.13,
2.1428,-790.62,644.02,
2.0383,-774.06,644.83,
2.0485,-758.22,645.71,
2.1115,-741.74,646.27,
2.1775,-722.37,647.14,
2.1586,-706.12,647.96,
2.1027,-690.8,648.78,
2.1575,-675.08,649.64,
2.1505,-658.57,650.53,
2.107,-642.18,651.35,
2.0637,-626.36,652.21,
2.047,-610.25,653.08,
2.0446,-593.48,653.89,
2.0027,-577.53,654.44,
1.9889,-558.93,655.27,
1.9645,-543.15,656.14,
1.9355,-526.97,656.96,
1.8712,-511.56,657.78,
1.8679,-496.01,658.64,
1.7754,-479.94,659.46,
1.7739,-463.82,660.33,
1.7609,-447.55,661.2,
1.693,-430.9,662.1,
1.7218,-413.94,662.63,
1.6899,-394.88,663.45,
1.6075,-379.47,664.33,
1.6099,-362.98,665.14,
1.5511,-347.51,666.02,
1.549,-331.25,666.83,
1.5171,-315.53,667.7,
1.5074,-299.11,668.6,
1.4616,-282.62,669.45,
1.4342,-265.92,670.33,
1.4523,-248.94,670.88,
1.4373,-230.02,671.77,
1.3805,-213.76,672.55,
1.3744,-198.29,673.42,
1.3392,-182.24,674.24,
1.3425,-166.33,675.11,
1.3056,-150.14,675.99,
1.316,-133.36,676.88,
1.2515,-117.09,677.69,
1.2743,-100.65,678.56,
1.2668,-84.752,679.09,
1.3126,-65.421,679.92,
1.2765,-49.982,680.8,
1.301,-33.555,681.61,
1.2627,-18.033,682.49,
1.3061,-1.438,683.36,
1.3063,15.015,684.17,
1.3117,30.779,685.05,
1.2817,47.127,685.92,
1.3713,64.124,686.8,
1.4256,80.432,687.34,
1.4842,99.643,688.17,
1.5418,115.22,689.05,
1.6557,131.48,689.86,
1.6782,146.62,690.69,
1.7889,161.99,691.44,
1.8279,176.94,692.31,
1.8834,192.91,693.11,
1.9226,208.57,693.98,
1.9938,224.94,694.86,
2.0665,241.79,695.42,
2.1352,260.95,696.31,
2.1972,277.32,697.17,
2.2958,293.86,697.98,
2.402,309.7,698.86,
2.505,326.05,699.75,
2.6251,343.34,700.67,
2.7735,360.54,701.55,
2.9684,376.98,702.44,
3.4798,393.71,703.3,
3.9461,410.51,703.84,
